Region,Crop Type,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (ppm),Sowing Date,Harvest Date,Yield (tons/ha),Soil Type
Aurangabad,Rice,1211.6,29.6,6.9,32.9,2023-04-02,2023-08-03,4.02,Laterite
Nashik,Jowar,935.3,26.7,7.4,41.8,2023-01-07,2023-04-20,3.07,Sandy
Ratnagiri,Maize,546.1,30.0,6.6,40.1,2023-03-03,2023-07-16,4.39,Sandy
Latur,Rice,828.7,23.9,6.4,53.7,2023-03-15,2023-08-15,2.49,Clay
Aurangabad,Jowar,1054.7,30.0,5.7,36.4,2023-07-23,2023-11-25,2.95,Sandy
Amravati,Wheat,579.0,20.8,6.2,31.8,2023-10-03,2024-02-20,3.56,Loamy
Amravati,Bajra,877.7,24.7,5.8,53.1,2023-03-05,2023-06-08,4.18,Loamy
Amravati,Maize,1023.2,28.4,6.5,60.2,2023-10-09,2024-01-17,2.54,Loamy
Satara,Bajra,467.7,20.2,6.5,40.6,2023-11-14,2024-03-21,3.35,Sandy
Ratnagiri,Jowar,998.2,21.3,7.3,66.3,2023-05-12,2023-08-13,4.1,Sandy
Aurangabad,Moong,983.0,23.1,6.2,34.5,2023-11-20,2024-02-20,5.48,Sandy
Nagpur,Jowar,492.5,20.1,6.5,30.5,2023-04-12,2023-08-01,3.27,Sandy
Kolhapur,Jowar,531.9,29.6,5.5,64.9,2023-07-22,2023-12-01,2.24,Loamy
Aurangabad,Jowar,488.4,22.7,6.3,34.3,2023-11-15,2024-04-09,4.25,Loamy
Aurangabad,Rice,1090.2,28.8,6.5,37.5,2023-05-16,2023-10-10,4.25,Laterite
Pune,Wheat,403.6,21.2,6.7,39.7,2023-08-22,2023-12-10,2.41,Clay
Satara,Jowar,609.9,24.6,6.4,46.9,2023-03-21,2023-08-22,5.09,Sandy
Amravati,Maize,1058.1,25.9,5.7,47.9,2023-09-02,2023-12-18,3.72,Loamy
Nagpur,Maize,661.2,26.4,7.4,58.5,2023-09-15,2024-01-30,3.66,Loamy
Nashik,Bajra,605.5,20.8,6.2,31.5,2023-12-14,2024-03-22,4.21,Loamy
Amravati,Toor,455.3,31.5,6.2,39.1,2023-08-27,2023-12-12,3.88,Loamy
Ratnagiri,Maize,975.5,20.5,6.4,67.3,2023-07-21,2023-11-28,3.63,Loamy
Pune,Bajra,752.5,27.3,6.1,30.8,2023-08-22,2023-12-30,3.56,Sandy
Aurangabad,Wheat,882.2,20.7,6.9,54.1,2023-07-08,2023-10-17,4.53,Clay
Amravati,Bajra,758.8,21.8,6.1,42.5,2023-10-08,2024-01-08,4.33,Loamy
Amravati,Toor,755.2,33.1,7.1,60.1,2023-02-09,2023-07-03,4.74,Clay
Aurangabad,Moong,812.0,31.8,5.5,41.1,2023-03-04,2023-08-07,3.03,Loamy
Solapur,Bajra,911.8,25.6,6.7,31.8,2023-09-08,2023-12-25,2.58,Loamy
Latur,Toor,1027.6,23.3,7.1,54.3,2023-01-24,2023-06-06,5.1,Clay
Kolhapur,Moong,618.9,27.3,6.3,61.7,2023-05-20,2023-09-25,4.58,Sandy
Nashik,Toor,1033.4,22.9,6.2,42.0,2023-07-06,2023-10-12,4.91,Clay
Satara,Toor,575.3,28.8,5.6,62.1,2023-02-20,2023-06-21,2.85,Clay
Solapur,Toor,1000.0,20.4,6.0,47.5,2023-05-20,2023-09-08,2.37,Clay
Ratnagiri,Wheat,648.5,27.9,7.1,40.5,2023-10-08,2024-01-19,2.26,Loamy
Nagpur,Jowar,1080.6,30.7,7.4,48.8,2023-03-10,2023-06-16,4.8,Sandy
Nashik,Wheat,581.1,20.6,6.3,68.7,2023-06-12,2023-09-21,4.51,Clay
Aurangabad,Maize,969.9,29.4,5.7,61.2,2023-07-06,2023-10-29,2.42,Sandy
Nagpur,Bajra,733.1,21.8,7.1,31.0,2023-11-03,2024-03-28,4.02,Loamy
Nagpur,Maize,1045.8,23.9,5.9,57.5,2023-07-13,2023-11-20,4.7,Sandy
Kolhapur,Maize,784.6,32.6,5.7,41.0,2023-07-09,2023-10-23,2.75,Loamy
Nagpur,Moong,895.8,26.5,5.6,63.7,2023-02-20,2023-07-02,5.07,Loamy
Pune,Bajra,810.4,29.0,7.4,35.6,2023-06-16,2023-09-19,2.91,Loamy
Kolhapur,Moong,844.9,25.3,7.1,65.6,2023-10-22,2024-01-22,4.4,Loamy
Latur,Maize,508.6,24.1,6.9,33.7,2023-05-23,2023-10-06,3.34,Loamy
Solapur,Toor,581.7,30.5,6.8,59.0,2023-01-23,2023-06-23,4.82,Clay
Solapur,Bajra,587.8,20.1,5.8,46.6,2023-02-25,2023-05-31,4.56,Loamy
Amravati,Jowar,862.2,24.2,5.7,30.8,2023-03-15,2023-07-16,2.11,Loamy
Nashik,Bajra,974.8,30.1,7.5,57.5,2023-04-19,2023-09-17,3.25,Loamy
Latur,Rice,1385.9,30.0,7.3,52.7,2023-04-25,2023-08-11,5.22,Laterite
Nashik,Wheat,673.8,24.7,5.7,64.5,2023-12-02,2024-03-09,2.11,Loamy
Nagpur,Toor,619.4,24.1,6.9,59.3,2023-06-07,2023-09-16,4.88,Clay
Nagpur,Wheat,786.4,24.8,5.6,55.5,2023-04-19,2023-07-29,2.91,Loamy
Ratnagiri,Moong,703.2,32.9,6.9,47.2,2023-06-22,2023-10-14,4.58,Sandy
Amravati,Jowar,514.2,31.2,7.2,69.7,2023-09-01,2023-12-17,2.59,Loamy
Amravati,Bajra,456.9,33.7,6.3,40.6,2023-09-03,2023-12-21,5.37,Loamy
Aurangabad,Jowar,937.0,33.9,7.5,39.5,2023-04-02,2023-09-06,4.84,Sandy
Amravati,Wheat,599.1,29.3,7.5,45.1,2023-12-11,2024-04-15,4.5,Clay
Solapur,Maize,1084.8,21.5,7.1,47.2,2023-07-20,2023-10-27,4.0,Sandy
Aurangabad,Maize,781.5,29.4,5.8,53.5,2023-04-23,2023-09-13,3.84,Loamy
Kolhapur,Rice,1377.8,22.1,5.8,42.5,2023-07-21,2023-12-22,4.68,Clay
Satara,Moong,600.7,31.5,6.1,37.9,2023-12-28,2024-05-07,5.37,Loamy
Nashik,Jowar,765.5,26.7,6.9,62.7,2023-04-13,2023-08-09,3.76,Loamy
Nagpur,Maize,985.5,20.6,7.0,33.8,2023-07-22,2023-11-23,4.39,Loamy
Ratnagiri,Rice,1236.5,26.7,6.1,52.4,2023-01-17,2023-04-30,2.31,Clay
Aurangabad,Bajra,960.7,30.4,7.4,45.3,2023-02-24,2023-07-01,3.2,Sandy
Pune,Bajra,1002.5,26.2,6.7,37.8,2023-05-16,2023-08-24,4.36,Loamy
Nagpur,Toor,831.2,32.7,6.0,67.3,2023-08-25,2023-12-28,3.44,Clay
Solapur,Toor,555.9,32.9,6.0,69.0,2023-04-19,2023-07-21,2.47,Loamy
Latur,Moong,1035.6,21.7,7.0,48.6,2023-07-09,2023-11-05,2.33,Sandy
Aurangabad,Jowar,992.7,24.2,5.6,54.7,2023-12-26,2024-04-25,3.82,Loamy
Aurangabad,Rice,955.7,30.6,6.9,59.1,2023-10-22,2024-03-12,4.7,Clay
Nashik,Wheat,919.7,20.1,6.5,69.7,2023-05-13,2023-09-26,4.35,Loamy
Latur,Jowar,673.9,28.5,6.3,30.0,2023-07-27,2023-12-20,2.42,Loamy
Aurangabad,Rice,763.8,27.7,5.7,54.6,2023-12-27,2024-05-31,5.29,Clay
Kolhapur,Toor,454.1,20.3,6.1,33.8,2023-12-27,2024-03-28,2.79,Loamy
Nashik,Jowar,541.7,21.1,7.2,56.0,2023-06-07,2023-11-14,5.05,Sandy
Solapur,Moong,440.4,32.0,6.6,60.2,2023-11-06,2024-02-04,4.04,Sandy
Aurangabad,Moong,424.1,31.4,6.6,37.6,2023-02-11,2023-05-15,5.01,Sandy
Satara,Toor,893.3,24.7,5.7,49.5,2023-01-10,2023-04-10,2.46,Loamy
Kolhapur,Jowar,1069.8,32.8,6.4,54.8,2023-10-28,2024-02-29,2.76,Loamy
Satara,Moong,1079.5,27.3,7.1,50.3,2023-03-21,2023-07-12,4.63,Sandy
Amravati,Maize,927.5,34.1,6.4,47.7,2023-11-06,2024-03-09,3.77,Loamy
Latur,Wheat,987.4,28.5,5.9,35.4,2023-02-12,2023-06-28,3.96,Clay
Pune,Maize,1027.9,27.6,6.2,57.0,2023-12-15,2024-04-22,2.68,Loamy
Aurangabad,Moong,741.1,26.6,6.0,69.9,2023-08-01,2023-12-14,3.18,Loamy
Kolhapur,Toor,670.6,20.1,7.3,65.4,2023-03-16,2023-06-29,3.93,Loamy
Pune,Moong,1072.8,29.6,6.6,67.6,2023-03-18,2023-06-28,2.1,Sandy
Nashik,Jowar,468.8,22.6,7.3,56.7,2023-06-21,2023-10-08,2.57,Sandy
Nagpur,Wheat,519.1,24.5,7.1,30.5,2023-11-17,2024-04-06,2.71,Loamy
Nashik,Moong,900.3,34.4,7.4,62.9,2023-11-26,2024-03-24,4.99,Sandy
Satara,Bajra,1068.2,26.7,5.9,30.7,2023-01-11,2023-06-20,4.27,Sandy
Ratnagiri,Jowar,756.4,33.0,6.4,59.2,2023-06-08,2023-11-11,2.14,Sandy
Aurangabad,Rice,1367.5,26.4,6.8,50.1,2023-02-11,2023-05-30,3.03,Clay
Aurangabad,Rice,1219.2,33.8,6.1,38.0,2023-09-19,2024-01-23,3.23,Clay
Nagpur,Toor,711.5,24.1,6.1,34.8,2023-05-11,2023-09-24,2.97,Clay
Ratnagiri,Wheat,646.9,32.8,6.2,64.8,2023-10-09,2024-02-25,3.48,Loamy
Satara,Wheat,902.1,24.9,5.7,65.2,2023-04-08,2023-07-31,2.88,Clay
Kolhapur,Wheat,981.3,24.2,5.9,44.2,2023-11-19,2024-03-10,2.21,Clay
Satara,Rice,917.3,30.1,5.8,34.8,2023-06-28,2023-12-03,2.37,Clay
Kolhapur,Wheat,690.9,32.6,5.8,63.9,2023-03-09,2023-08-10,3.92,Clay
Satara,Maize,1037.6,31.1,5.8,36.5,2023-10-14,2024-02-27,3.93,Sandy
Satara,Jowar,995.4,32.9,6.3,46.1,2023-03-03,2023-07-11,3.94,Loamy
Aurangabad,Moong,515.5,25.0,6.3,33.0,2023-09-27,2024-02-04,5.23,Sandy
Aurangabad,Maize,1065.5,26.0,6.7,40.6,2023-11-08,2024-03-27,3.44,Loamy
Latur,Bajra,416.0,22.4,7.5,55.1,2023-05-02,2023-09-27,2.28,Loamy
Nagpur,Jowar,908.5,28.0,7.0,69.8,2023-07-02,2023-10-08,4.95,Loamy
Latur,Wheat,750.2,25.6,5.7,51.9,2023-09-23,2024-01-16,4.87,Clay
Pune,Moong,584.7,23.4,6.0,59.4,2023-10-22,2024-03-22,3.06,Sandy
Kolhapur,Jowar,1071.6,23.0,5.6,44.2,2023-10-11,2024-03-04,2.77,Sandy
Latur,Rice,1372.1,30.5,6.3,35.4,2023-05-10,2023-09-13,2.31,Laterite
Pune,Rice,721.9,23.3,6.8,46.7,2023-10-05,2024-01-17,5.16,Clay
Kolhapur,Bajra,439.1,29.8,6.0,58.8,2023-08-02,2023-11-12,4.41,Sandy
Amravati,Bajra,786.9,28.8,5.6,57.2,2023-01-17,2023-05-03,2.18,Sandy
Kolhapur,Maize,550.6,22.5,7.2,32.6,2023-09-27,2024-01-14,4.79,Loamy
Latur,Wheat,630.0,31.0,6.7,68.3,2023-05-28,2023-09-01,5.06,Loamy
Satara,Rice,893.9,28.9,5.6,47.4,2023-06-11,2023-10-29,4.88,Clay
Latur,Toor,655.2,21.0,6.2,67.6,2023-07-15,2023-12-18,5.2,Clay
Satara,Rice,879.2,24.5,6.4,32.6,2023-04-24,2023-08-06,4.1,Clay
Nagpur,Rice,1256.0,25.3,6.3,43.3,2023-12-10,2024-03-13,2.62,Clay
Satara,Wheat,799.4,33.4,7.3,30.1,2023-12-02,2024-04-14,4.97,Clay
Aurangabad,Wheat,846.4,34.5,7.0,46.8,2023-04-04,2023-07-13,5.05,Loamy
Latur,Maize,882.1,25.6,6.8,33.7,2023-10-21,2024-01-23,3.7,Loamy
Nashik,Bajra,692.2,32.6,6.7,58.3,2023-05-15,2023-10-14,4.45,Loamy
Aurangabad,Jowar,420.7,21.8,7.1,67.8,2023-11-05,2024-03-29,3.05,Sandy
Kolhapur,Rice,869.8,31.9,7.4,58.4,2023-05-01,2023-09-12,2.78,Laterite
Nagpur,Wheat,643.5,30.4,6.0,58.6,2023-05-18,2023-09-30,4.65,Loamy
Amravati,Moong,798.6,27.8,7.3,55.0,2023-01-28,2023-05-25,3.87,Sandy
Solapur,Toor,786.5,28.2,6.5,65.3,2023-11-22,2024-03-24,4.34,Loamy
Pune,Bajra,951.7,25.5,6.3,40.4,2023-12-18,2024-05-04,4.99,Loamy
Satara,Rice,1094.3,29.1,7.5,52.7,2023-08-17,2023-12-01,4.26,Clay
Latur,Moong,879.0,27.9,7.0,36.6,2023-06-23,2023-10-28,2.1,Sandy
Solapur,Bajra,783.8,26.9,7.1,59.6,2023-02-24,2023-05-29,4.79,Loamy
Latur,Bajra,523.1,23.1,6.9,65.6,2023-08-21,2024-01-26,3.8,Loamy
Nagpur,Wheat,1095.0,26.9,7.1,49.7,2023-04-07,2023-08-16,5.23,Loamy
Latur,Toor,408.8,25.5,7.5,49.4,2023-08-12,2023-11-22,2.73,Clay
Nagpur,Moong,713.2,20.8,7.4,55.0,2023-03-06,2023-08-11,4.51,Sandy
Nagpur,Toor,935.2,34.5,7.0,32.7,2023-05-04,2023-10-06,4.82,Loamy
Satara,Moong,548.3,23.4,6.1,53.9,2023-02-28,2023-06-19,2.22,Sandy
Pune,Jowar,839.1,31.0,6.4,36.3,2023-03-11,2023-07-07,3.75,Sandy
Latur,Maize,1045.5,21.9,7.0,49.9,2023-08-12,2024-01-09,3.34,Sandy
Solapur,Jowar,511.9,21.7,7.5,43.2,2023-11-18,2024-03-20,2.95,Sandy
Solapur,Moong,1078.1,29.9,7.0,68.8,2023-12-24,2024-05-19,3.32,Sandy
Pune,Wheat,772.7,24.9,6.4,67.3,2023-03-05,2023-06-14,5.46,Clay
Latur,Jowar,571.7,29.5,6.6,46.2,2023-11-22,2024-03-15,2.77,Loamy
Solapur,Jowar,779.7,22.6,7.4,45.6,2023-11-07,2024-03-23,3.62,Sandy
Amravati,Jowar,530.1,33.1,6.1,46.0,2023-02-26,2023-06-25,4.7,Sandy
Latur,Toor,999.6,25.3,6.5,36.7,2023-04-02,2023-09-03,2.72,Clay
Latur,Moong,1043.7,33.7,5.9,34.1,2023-02-18,2023-06-25,2.52,Loamy
Solapur,Jowar,915.6,22.6,5.9,63.9,2023-10-26,2024-03-09,4.12,Sandy
Aurangabad,Moong,605.4,21.2,7.2,41.1,2023-05-16,2023-08-23,4.07,Loamy
Amravati,Maize,1018.4,34.0,7.3,47.8,2023-01-22,2023-05-07,2.76,Sandy
Kolhapur,Toor,771.1,27.0,5.9,55.1,2023-09-26,2024-01-16,3.67,Clay
Aurangabad,Toor,855.1,32.4,6.6,34.6,2023-11-15,2024-04-17,3.86,Clay
Aurangabad,Toor,677.3,25.1,6.3,50.5,2023-04-23,2023-09-08,4.46,Clay
Nagpur,Rice,1011.4,25.1,5.9,67.7,2023-03-06,2023-07-21,2.8,Laterite
Amravati,Toor,853.5,27.4,6.8,32.6,2023-11-05,2024-04-05,2.53,Clay
Nashik,Toor,989.0,34.0,6.7,63.0,2023-02-10,2023-05-30,4.13,Clay
Nashik,Bajra,639.9,22.0,5.6,68.4,2023-10-01,2024-02-02,3.74,Loamy
Ratnagiri,Toor,625.3,23.3,6.1,48.0,2023-01-05,2023-06-10,3.54,Clay
Aurangabad,Bajra,485.9,23.3,5.9,44.0,2023-05-01,2023-10-03,3.61,Sandy
Kolhapur,Bajra,1019.3,25.4,5.5,39.3,2023-03-16,2023-07-07,2.33,Loamy
Latur,Toor,784.7,31.8,6.5,40.5,2023-05-23,2023-09-15,2.13,Loamy
Nagpur,Wheat,1036.0,29.2,7.1,45.5,2023-03-25,2023-08-05,3.96,Loamy
Latur,Wheat,980.6,31.8,5.7,53.2,2023-10-09,2024-02-15,2.49,Clay
Nagpur,Toor,999.1,32.3,5.5,47.8,2023-08-19,2023-12-20,4.01,Loamy
Solapur,Rice,1308.7,29.6,5.7,38.7,2023-01-12,2023-06-21,3.68,Laterite
Aurangabad,Wheat,464.4,29.7,6.0,51.6,2023-02-22,2023-06-07,4.77,Loamy
Aurangabad,Wheat,438.3,23.7,5.8,55.6,2023-09-09,2023-12-22,3.48,Clay
Amravati,Toor,680.6,22.3,5.6,45.8,2023-11-05,2024-04-07,4.73,Loamy
Kolhapur,Toor,457.8,28.7,6.0,69.5,2023-06-18,2023-09-24,4.71,Loamy
Satara,Jowar,974.1,26.5,7.3,39.4,2023-06-28,2023-10-20,4.63,Sandy
Nagpur,Moong,515.0,34.8,6.7,67.6,2023-05-23,2023-10-29,3.57,Sandy
Satara,Toor,760.2,27.6,5.6,64.1,2023-02-14,2023-06-28,3.14,Loamy
Aurangabad,Toor,515.2,35.0,6.6,62.3,2023-11-11,2024-02-25,4.03,Loamy
Latur,Jowar,853.4,26.4,6.3,46.3,2023-07-18,2023-12-16,4.26,Sandy
Ratnagiri,Jowar,555.0,33.5,6.1,40.6,2023-06-12,2023-09-26,5.16,Loamy
Amravati,Toor,838.7,23.7,6.2,66.1,2023-05-14,2023-10-03,2.82,Loamy
Solapur,Maize,613.0,28.1,6.1,43.5,2023-10-07,2024-03-08,2.38,Sandy
Satara,Moong,953.0,24.6,6.9,52.3,2023-01-14,2023-05-08,2.19,Sandy
Nagpur,Bajra,705.3,28.1,6.0,56.4,2023-09-15,2023-12-20,4.28,Sandy
Aurangabad,Jowar,1018.4,34.3,6.0,42.7,2023-11-26,2024-04-05,3.14,Loamy
Amravati,Rice,1186.3,32.7,7.2,33.1,2023-07-23,2023-11-12,3.07,Clay
Latur,Jowar,902.4,29.6,5.8,49.8,2023-12-21,2024-05-18,3.9,Sandy
Pune,Jowar,435.7,20.7,6.8,61.5,2023-05-21,2023-10-01,4.3,Loamy
Kolhapur,Toor,692.2,24.6,6.9,60.9,2023-04-16,2023-07-29,3.69,Loamy
Ratnagiri,Jowar,846.9,33.6,5.6,66.4,2023-09-25,2023-12-27,2.27,Sandy
Satara,Maize,694.6,28.8,7.0,62.4,2023-02-07,2023-06-17,3.17,Loamy
Solapur,Wheat,498.2,31.9,6.9,36.7,2023-04-24,2023-08-19,3.77,Clay
Nagpur,Bajra,968.1,20.7,6.9,56.0,2023-10-06,2024-02-22,3.43,Sandy
Pune,Bajra,906.9,24.3,6.7,68.0,2023-01-16,2023-05-22,4.6,Sandy
Ratnagiri,Moong,439.7,24.4,7.0,61.5,2023-12-11,2024-04-30,3.57,Sandy
Satara,Wheat,951.9,33.2,6.1,44.9,2023-08-27,2024-01-31,3.6,Loamy
Nashik,Wheat,665.3,25.2,6.5,50.0,2023-04-08,2023-07-07,3.42,Clay
Ratnagiri,Rice,1286.6,28.5,6.1,63.5,2023-08-03,2023-12-03,3.13,Laterite
Aurangabad,Bajra,985.8,29.5,7.0,44.7,2023-09-25,2024-02-29,2.71,Sandy
Nagpur,Moong,1022.6,32.3,5.5,58.9,2023-04-26,2023-08-01,3.86,Sandy
Satara,Maize,815.9,20.8,6.0,42.6,2023-11-21,2024-03-24,4.98,Loamy
Ratnagiri,Jowar,570.7,21.7,7.5,38.0,2023-07-25,2023-12-11,3.8,Sandy
Ratnagiri,Toor,1082.5,20.9,7.0,30.4,2023-03-01,2023-07-28,3.72,Clay
Satara,Jowar,834.0,34.2,6.8,42.9,2023-08-27,2023-12-30,2.64,Loamy
Kolhapur,Moong,1071.8,23.2,6.4,44.5,2023-04-28,2023-09-01,4.13,Sandy
Latur,Jowar,667.4,26.2,6.1,39.9,2023-11-03,2024-02-20,2.35,Loamy
Amravati,Wheat,870.3,25.2,6.0,36.3,2023-09-01,2023-12-30,2.68,Loamy
Ratnagiri,Bajra,696.7,31.0,6.2,36.2,2023-10-16,2024-03-03,4.44,Loamy
Kolhapur,Moong,839.3,25.7,6.5,67.2,2023-07-25,2023-12-11,5.42,Loamy
Solapur,Bajra,1003.7,28.7,6.7,33.8,2023-08-19,2023-12-25,4.42,Loamy
Latur,Jowar,564.7,20.8,7.3,51.5,2023-03-14,2023-08-16,4.94,Loamy
Ratnagiri,Jowar,846.2,28.2,6.5,45.3,2023-02-28,2023-06-10,2.04,Sandy
Ratnagiri,Rice,746.4,34.2,7.4,62.1,2023-09-23,2023-12-22,5.24,Clay
Pune,Rice,761.4,34.2,6.6,48.0,2023-06-06,2023-10-17,5.36,Laterite
Amravati,Maize,644.1,32.8,7.2,50.7,2023-07-17,2023-12-16,4.78,Loamy
Nashik,Maize,777.7,34.4,5.8,66.5,2023-07-18,2023-10-31,2.31,Loamy
Amravati,Maize,609.1,30.7,7.5,56.0,2023-01-03,2023-06-05,3.03,Sandy
Solapur,Toor,549.3,22.0,6.0,50.9,2023-12-22,2024-04-09,5.38,Loamy
Pune,Jowar,527.4,22.1,6.1,62.3,2023-06-14,2023-11-11,3.26,Loamy
Nashik,Jowar,572.8,26.9,6.8,46.7,2023-12-08,2024-03-27,3.95,Loamy
Satara,Rice,1376.1,34.2,6.1,61.6,2023-08-05,2023-12-04,3.65,Laterite
Pune,Moong,876.7,23.4,7.0,58.5,2023-02-22,2023-06-05,2.84,Sandy
Amravati,Maize,423.7,24.1,5.8,50.6,2023-09-20,2024-01-30,2.76,Loamy
Ratnagiri,Maize,653.4,30.8,7.1,51.1,2023-11-14,2024-03-31,4.02,Sandy
Satara,Wheat,1070.0,26.2,7.2,52.4,2023-12-02,2024-05-05,4.76,Clay
Pune,Toor,405.1,27.0,6.0,68.7,2023-09-24,2024-01-17,3.2,Loamy
Nashik,Jowar,993.7,34.0,6.4,41.6,2023-07-22,2023-11-22,4.16,Loamy
Solapur,Toor,594.2,26.7,5.9,66.6,2023-10-14,2024-03-04,2.24,Loamy
Kolhapur,Wheat,819.4,26.7,5.8,39.1,2023-11-28,2024-04-07,5.38,Loamy
Amravati,Maize,562.2,25.9,7.1,41.7,2023-09-09,2023-12-20,2.09,Sandy
Nashik,Toor,902.8,24.3,6.2,63.5,2023-01-19,2023-06-24,2.7,Clay
Latur,Maize,643.7,33.0,7.3,32.7,2023-11-27,2024-05-04,3.42,Loamy
Latur,Jowar,704.3,29.7,7.4,41.2,2023-05-12,2023-08-20,4.91,Loamy
Pune,Bajra,468.5,23.8,7.3,50.5,2023-08-28,2024-01-19,3.39,Loamy
Ratnagiri,Rice,1001.1,24.6,6.9,33.9,2023-08-11,2023-12-14,4.69,Laterite
Solapur,Toor,485.8,30.7,6.3,42.2,2023-10-18,2024-01-29,5.06,Clay
Ratnagiri,Rice,916.3,29.1,7.2,33.9,2023-02-16,2023-06-16,4.81,Clay
Amravati,Rice,809.1,33.2,7.5,49.9,2023-07-14,2023-12-01,3.27,Clay
Satara,Jowar,442.5,23.7,7.1,54.4,2023-06-19,2023-10-08,3.09,Loamy
Amravati,Jowar,957.1,27.2,7.4,35.5,2023-10-28,2024-03-28,5.4,Sandy
Ratnagiri,Maize,558.8,32.1,7.2,59.9,2023-02-04,2023-06-28,2.07,Sandy
Solapur,Maize,490.2,21.2,7.0,68.0,2023-02-26,2023-05-27,5.33,Sandy
Nagpur,Rice,1210.9,23.2,6.9,61.1,2023-04-03,2023-08-18,2.25,Clay
Nashik,Rice,1130.2,33.3,6.3,55.7,2023-10-23,2024-03-09,3.35,Clay
Solapur,Wheat,777.9,27.2,6.3,48.0,2023-05-25,2023-10-28,2.8,Clay
Aurangabad,Wheat,946.5,30.2,6.6,51.2,2023-09-16,2024-01-06,5.04,Loamy
Satara,Moong,865.0,24.0,7.4,48.7,2023-05-09,2023-09-06,5.07,Sandy
Solapur,Wheat,792.1,28.3,6.4,40.0,2023-07-09,2023-12-06,3.29,Clay
Nagpur,Toor,611.5,25.2,7.2,48.1,2023-11-04,2024-04-01,4.11,Loamy
Latur,Jowar,963.9,22.9,7.3,47.9,2023-07-22,2023-11-18,3.97,Loamy
Nagpur,Maize,609.8,24.9,5.9,54.9,2023-04-21,2023-08-31,2.85,Sandy
Aurangabad,Rice,618.4,31.5,6.3,35.9,2023-03-07,2023-08-10,3.83,Laterite
Aurangabad,Bajra,412.1,24.0,6.0,32.6,2023-08-09,2023-11-23,3.56,Loamy
Aurangabad,Bajra,481.5,23.9,6.0,41.2,2023-07-26,2023-11-17,4.58,Sandy
Aurangabad,Toor,793.7,29.8,6.9,65.8,2023-12-21,2024-05-20,2.93,Clay
Amravati,Wheat,600.5,29.9,5.6,63.1,2023-02-09,2023-07-03,2.72,Loamy
Nagpur,Toor,559.0,20.4,5.5,34.9,2023-12-22,2024-05-01,3.45,Clay
Pune,Toor,577.8,34.7,6.9,53.1,2023-06-05,2023-09-29,2.09,Clay
Nashik,Toor,930.1,33.3,7.5,31.7,2023-08-27,2023-12-21,2.33,Loamy
Nashik,Jowar,742.2,32.5,6.5,40.9,2023-03-08,2023-08-06,2.82,Loamy
Aurangabad,Moong,533.8,26.5,5.6,46.9,2023-12-27,2024-04-27,2.56,Loamy
Nashik,Bajra,610.4,34.3,5.9,49.0,2023-08-03,2023-12-12,3.74,Loamy
Solapur,Rice,801.5,28.4,7.4,38.6,2023-12-14,2024-05-07,4.08,Laterite
Latur,Wheat,1029.3,28.8,5.5,31.9,2023-09-23,2024-02-09,2.87,Clay
Latur,Wheat,791.0,31.4,7.5,66.5,2023-12-09,2024-05-17,4.72,Clay
Solapur,Rice,1388.8,32.9,5.6,50.2,2023-06-21,2023-11-10,5.14,Clay
Kolhapur,Bajra,1082.7,32.5,6.5,46.7,2023-12-02,2024-04-03,2.33,Loamy
Pune,Jowar,464.7,32.8,7.4,67.0,2023-12-24,2024-05-02,2.23,Sandy
Nashik,Toor,1094.0,25.3,5.9,31.0,2023-07-18,2023-11-28,2.03,Clay
Amravati,Maize,879.9,27.6,6.0,54.2,2023-11-05,2024-02-25,4.43,Sandy
Nashik,Bajra,665.5,30.7,6.8,51.4,2023-10-14,2024-02-21,3.39,Sandy
Ratnagiri,Toor,477.8,26.1,7.1,50.7,2023-09-22,2024-02-24,4.93,Loamy
Kolhapur,Toor,544.5,21.4,6.5,39.2,2023-06-25,2023-10-24,3.93,Loamy
Amravati,Wheat,400.9,24.7,6.3,44.7,2023-05-25,2023-09-09,2.05,Loamy
Nagpur,Toor,795.9,26.9,6.0,38.7,2023-12-06,2024-05-04,4.23,Clay
Nashik,Toor,1039.4,23.7,7.0,31.9,2023-09-07,2023-12-09,4.6,Loamy
Solapur,Jowar,923.8,32.1,7.3,38.3,2023-07-01,2023-10-29,4.49,Sandy
Pune,Rice,1153.8,25.7,7.1,45.7,2023-05-14,2023-09-03,3.27,Clay
Kolhapur,Maize,655.5,23.2,5.5,33.2,2023-08-04,2023-12-05,4.73,Loamy
Aurangabad,Bajra,921.9,22.8,6.3,37.5,2023-11-15,2024-03-24,5.27,Sandy
Pune,Wheat,450.9,33.6,6.6,54.6,2023-10-24,2024-01-31,5.5,Clay
Ratnagiri,Rice,901.7,22.6,6.1,43.8,2023-10-06,2024-03-05,3.9,Clay
Kolhapur,Bajra,552.0,28.1,6.4,47.6,2023-11-19,2024-03-01,2.25,Sandy
Aurangabad,Bajra,851.4,30.9,7.0,32.5,2023-09-13,2024-01-06,3.45,Loamy
Nashik,Bajra,1081.7,30.2,7.4,30.6,2023-03-01,2023-06-04,4.62,Sandy
Nashik,Jowar,864.5,24.8,6.0,32.0,2023-08-20,2023-12-15,4.63,Loamy
Ratnagiri,Wheat,495.1,28.1,7.1,35.1,2023-08-11,2023-12-08,3.3,Clay
Satara,Toor,618.8,23.2,6.0,37.7,2023-11-15,2024-03-19,3.68,Clay
